	(1)	(2)	(3)	(4)	(5)
VARIABLES	Model 1	Model 2	Model 3	Model 4	Model 5
					
MLSA_law	-13.07***	-10.76***	-11.99***	-4.969***	-4.573***
	(0.677)	(0.694)	(0.777)	(0.868)	(0.723)
taxstr		-7.519***	-7.486***	-2.970***	-4.104***
		(0.890)	(0.888)	(0.852)	(0.796)
uer			-0.474**	-0.863***	-0.331*
			(0.209)	(0.185)	(0.177)
mdh			0.000121	0.000456***	0.000311***
			(0.000101)	(9.24e-05)	(7.76e-05)
edu				-3.575***	-2.704***
				(0.275)	(0.253)
MD1					0.403
					(0.913)
Constant	57.55***	67.67***	63.80***	141.0***	121.4***
	(0.440)	(1.268)	(6.742)	(8.370)	(7.660)
					
Observations	612	612	612	612	553
R-squared	0.400	0.468	0.479	0.601	0.606
Number of id	51	51	51	51	51
r2_o	0.0649	0.360	0.341	0.351	0.410
r2_b	0.000361	0.378	0.358	0.316	0.351
r2_w	0.400	0.468	0.479	0.601	0.606
F	372.9	245.6	128.1	167.5	127.4
F_f	88.43	62.09	61.57	76.08	88.16
rho	0.881	0.853	0.860	0.900	0.918
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
