	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)
VARIABLES	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av	vote2010_1st	vote2010_1st	vote2010_1st	vote2010_2nd	vote2010_2nd	vote2010_2nd	vote2010_av	vote2010_av	vote2010_av
																																				
atevar	0.024	0.021	0.018	0.022	0.016	0.012	0.023	0.019	0.015	0.024	0.021	0.018	0.022	0.016	0.012	0.023	0.019	0.015	0.024	0.021	0.018	0.022	0.016	0.012	0.023	0.019	0.015	0.024	0.021	0.018	0.022	0.016	0.012	0.023	0.019	0.015
	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.021)	(0.022)	(0.021)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.021)	(0.022)	(0.021)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.021)	(0.022)	(0.021)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.024)	(0.021)	(0.022)	(0.021)
gender	0.037**	0.048***	0.040**	0.034**	0.041**	0.031*	0.035**	0.044***	0.035**	0.037**	0.048***	0.040**	0.034**	0.041**	0.031*	0.035**	0.044***	0.035**	0.037**	0.048***	0.040**	0.034**	0.041**	0.031*	0.035**	0.044***	0.035**	0.037**	0.048***	0.040**	0.034**	0.041**	0.031*	0.035**	0.044***	0.035**
	(0.016)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)	(0.016)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)	(0.016)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)	(0.016)	(0.016)	(0.016)	(0.017)	(0.017)	(0.017)	(0.015)	(0.015)	(0.015)
treatment	0.025	0.016	0.022	0.007	0.005	0.014	0.016	0.010	0.018	0.025	0.016	0.022	0.007	0.005	0.014	0.016	0.010	0.018	0.025	0.016	0.022	0.007	0.005	0.014	0.016	0.010	0.018	0.025	0.016	0.022	0.007	0.005	0.014	0.016	0.010	0.018
	(0.021)	(0.019)	(0.018)	(0.021)	(0.019)	(0.019)	(0.019)	(0.017)	(0.017)	(0.021)	(0.019)	(0.018)	(0.021)	(0.019)	(0.019)	(0.019)	(0.017)	(0.017)	(0.021)	(0.019)	(0.018)	(0.021)	(0.019)	(0.019)	(0.019)	(0.017)	(0.017)	(0.021)	(0.019)	(0.018)	(0.021)	(0.019)	(0.019)	(0.019)	(0.017)	(0.017)
Constant	0.315***	-0.048***	0.366**	0.379***	-0.041**	0.065	0.347***	-0.044***	0.215	0.315***	-0.048***	0.366**	0.379***	-0.041**	0.065	0.347***	-0.044***	0.215	0.315***	-0.048***	0.366**	0.379***	-0.041**	0.065	0.347***	-0.044***	0.215	0.315***	-0.048***	0.366**	0.379***	-0.041**	0.065	0.347***	-0.044***	0.215
	(0.014)	(0.016)	(0.182)	(0.014)	(0.017)	(0.183)	(0.012)	(0.015)	(0.169)	(0.014)	(0.016)	(0.182)	(0.014)	(0.017)	(0.183)	(0.012)	(0.015)	(0.169)	(0.014)	(0.016)	(0.182)	(0.014)	(0.017)	(0.183)	(0.012)	(0.015)	(0.169)	(0.014)	(0.016)	(0.182)	(0.014)	(0.017)	(0.183)	(0.012)	(0.015)	(0.169)
																																				
Observations	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747	4,747
R-squared	0.004	0.096	0.114	0.003	0.088	0.116	0.004	0.093	0.121	0.004	0.096	0.114	0.003	0.088	0.116	0.004	0.093	0.121	0.004	0.096	0.114	0.003	0.088	0.116	0.004	0.093	0.121	0.004	0.096	0.114	0.003	0.088	0.116	0.004	0.093	0.121
