	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	vote2011_1st	vote2011_1st	vote2011_1st	vote2011_2nd	vote2011_2nd	vote2011_2nd	vote2011_av	vote2011_av	vote2011_av
									
atevar	0.005	0.002	0.000	-0.018	-0.012	-0.015	-0.006	-0.005	-0.008
	(0.026)	(0.027)	(0.026)	(0.028)	(0.029)	(0.029)	(0.024)	(0.025)	(0.024)
gender	0.046**	0.054***	0.043**	0.053***	0.053***	0.043**	0.049***	0.053***	0.043***
	(0.018)	(0.019)	(0.018)	(0.019)	(0.019)	(0.019)	(0.017)	(0.017)	(0.016)
treatment	0.008	0.009	0.013	0.007	0.007	0.013	0.008	0.008	0.013
	(0.022)	(0.021)	(0.021)	(0.023)	(0.022)	(0.022)	(0.020)	(0.019)	(0.019)
Constant	0.235***	0.991***	0.276	0.295***	0.000	-0.079	0.265***	0.500***	0.099
	(0.016)	(0.021)	(0.184)	(0.016)	(.)	(0.203)	(0.015)	(0.000)	(0.175)
									
Observations	3,579	3,579	3,579	3,578	3,578	3,578	3,578	3,578	3,578
R-squared	0.003	0.087	0.117	0.002	0.074	0.105	0.003	0.079	0.116
