year,state,minimumage,MDH,uer,CigC,taxstr,MA,Edu
2018,Alaska,19,68734,6.5999999,31.1,2,No,30.200001
2017,Alaska,19,79888,7,32.900002,2,No,28.799999
2016,Alaska,19,79237,6.9000001,35.599998,2,No,29.6
2015,Alaska,19,79611,6.5,35.799999,2,No,29.700001
2014,Alaska,19,71804,6.9000001,37.200001,2,No,28
2013,Alaska,19,78249,7,39,2,No,28
2012,Alaska,19,69739,7.0999999,41.200001,2,No,28
2011,Alaska,No Provision,64260,7.5999999,43.299999,2,No,26.4
2010,Alaska,No Provision,66767,7.9000001,43.799999,2,No,27.9
2009,Alaska,No Provision,72275,7.6999998,45.799999,2,No,26.6
2008,Alaska,No Provision,74812,6.6999998,47,2,No,27.299999
2007,Alaska,No Provision,76477,6.3000002,52.900002,2,.,26
2018,Alabama,19,49936,3.9000001,54.700001,.675,No,25.5
2017,Alabama,19,52105,4.4000001,58.099998,.675,No,25.5
2016,Alabama,19,49412,5.8000002,60.099998,.675,No,24.700001
2015,Alabama,19,47175,6.0999999,60.700001,.675,No,24.200001
2014,Alabama,19,44888,6.8000002,61.700001,.425,No,23.5
2013,Alabama,19,51092,7.1999998,64.599998,.425,No,23.5
2012,Alabama,No Provision,47624,8,67.199997,.425,No,23.299999
2011,Alabama,No Provision,47654,9.6000004,68.400002,.425,No,22.299999
2010,Alabama,No Provision,47244,10.5,71.5,.425,No,21.9
2009,Alabama,No Provision,46905,11,75.599998,.425,No,22
2008,Alabama,No Provision,51999,5.6999998,78,.425,No,22
2007,Alabama,No Provision,51248,4,80.199997,.425,.,21.4
2018,Arkansas,18,49781,3.7,50.200001,1.15,No,23.299999
2017,Arkansas,18,50964,3.7,52.400002,1.15,No,23.4
2016,Arkansas,18,48037,4,54.200001,1.15,No,22.4
2015,Arkansas,18,45362,5,54,1.15,No,21.799999
2014,Arkansas,18,47695,6,54.400002,1.15,No,21.4
2013,Arkansas,18,42515,7.1999998,57.5,1.15,No,20.6
2012,Arkansas,No Provision,42752,7.5999999,60.5,1.15,No,21
2011,Arkansas,No Provision,46213,8.3000002,61.099998,1.15,No,20.299999
2010,Arkansas,No Provision,44536,8.1999998,63.200001,1.15,No,19.5
2009,Arkansas,No Provision,42867,7.8000002,72.599998,1.15,No,18.9
2008,Arkansas,No Provision,46282,5.5,77,.59,No,18.799999
2007,Arkansas,No Provision,49527,5.3000002,78.400002,.59,.,19.299999
2018,Arizona,18,62283,4.8000002,21.799999,2,No,29.700001
2017,Arizona,18,61155,4.9000001,22.5,2,No,29.4
